Date,Open,High,Low,Close,Volume
2026-04-06,225.0000,226.4478,224.0931,225.3645,1081988
2026-04-07,225.3645,226.5641,224.7295,225.1188,3960644
2026-04-08,225.1188,228.3038,224.6470,226.8840,5042216
2026-04-09,226.8840,228.0923,224.0877,225.3409,4141692
2026-04-10,225.3409,226.0047,225.2228,225.8183,2373419
2026-04-13,225.8183,228.2133,224.7465,227.8713,3815917
2026-04-14,227.8713,229.1946,226.6383,228.2724,4362118
2026-04-15,228.2724,229.2851,226.5753,227.8746,4493750
2026-04-16,227.8746,229.2038,225.8451,227.0963,3735160
2026-04-17,227.0963,227.7769,226.4935,227.5852,2169322
2026-04-20,227.5852,229.0030,227.3564,227.7597,5563270
2026-04-21,227.7597,231.4883,226.8581,230.1253,5442264
2026-04-22,230.1253,230.5503,229.3894,229.5175,2864114
2026-04-23,229.5175,230.4651,226.2954,227.0287,2377979
2026-04-24,227.0287,228.1904,225.5374,226.6367,5371806
2026-04-27,226.6367,229.3309,225.4118,228.1783,5982015
2026-04-28,228.1783,229.0102,224.5564,225.6299,5938730
2026-04-29,225.6299,228.0376,225.5583,227.9207,1099606
2026-04-30,227.9207,230.9691,226.8925,229.7108,4715051
2026-05-01,229.7108,231.1413,227.7216,228.9596,5948258
2026-05-04,228.9596,229.6695,227.2176,227.3089,3631304
2026-05-05,227.3089,228.5517,226.6452,227.2065,3546829
2026-05-06,227.2065,229.4698,226.5950,229.4459,3457136
2026-05-07,229.4459,230.3276,225.6805,226.8118,5765833
2026-05-08,226.8118,229.9391,226.4397,229.5542,5259422
2026-05-11,229.5542,231.9519,228.1280,231.6362,4374408
2026-05-12,231.6362,233.7163,231.5395,232.4591,1884102
2026-05-13,232.4591,233.1874,232.1728,233.1529,5741727
2026-05-14,233.1529,236.4822,232.9307,236.2537,2684774
2026-05-15,236.2537,238.8165,236.0384,238.2602,3253605
2026-05-18,238.2602,241.1619,237.6876,239.8008,5827669
2026-05-19,239.8008,240.8697,237.7412,238.7190,2940910
2026-05-20,238.7190,239.3228,238.0230,238.4247,2051076
2026-05-21,238.4247,242.4362,238.0428,241.3172,1289842
2026-05-22,241.3172,241.9850,239.4031,240.8478,2584317
2026-05-25,240.8478,241.7450,237.8649,238.2632,4032334
2026-05-26,238.2632,241.0769,238.2160,240.4840,5908636
2026-05-27,240.4840,242.1036,240.1894,240.5872,1431614
2026-05-28,240.5872,243.1947,239.0458,242.9072,1025230
2026-05-29,242.9072,244.8250,242.7806,243.3819,3035517
