Date,Open,High,Low,Close,Volume
2026-04-06,96000.00,96006.29,93874.39,94169.69,4667647
2026-04-07,94169.69,95854.56,94109.12,94708.90,1022708
2026-04-08,94708.90,95417.92,94705.53,95059.55,1086001
2026-04-09,95059.55,98433.92,94587.28,97619.53,5276126
2026-04-10,97619.53,100842.03,96736.09,100316.17,5597111
2026-04-13,100316.17,100533.96,97552.39,98544.30,4886285
2026-04-14,98544.30,98797.13,96808.56,96876.82,3343909
2026-04-15,96876.82,97471.40,94939.65,95739.53,1913888
2026-04-16,95739.53,96029.77,94339.16,94487.74,2497770
2026-04-17,94487.74,96317.18,93599.25,94989.78,5900223
2026-04-20,94989.78,96668.33,94238.58,96467.26,4639614
2026-04-21,96467.26,97336.33,95784.58,96880.63,5106867
2026-04-22,96880.63,97399.61,96459.58,96803.47,2242745
2026-04-23,96803.47,97970.38,96155.96,96236.34,2957339
2026-04-24,96236.34,97372.28,93496.15,94731.36,5189183
2026-04-27,94731.36,95248.54,93172.35,94307.74,4092311
2026-04-28,94307.74,94874.42,92978.28,93588.17,5554443
2026-04-29,93588.17,94218.78,91523.27,91842.68,2310941
2026-04-30,91842.68,91878.97,88687.02,89574.59,1499537
2026-05-01,89574.59,89866.53,88233.42,88349.25,3170272
2026-05-04,88349.25,90566.15,87220.75,89463.28,3872390
2026-05-05,89463.28,89980.59,88954.82,89905.22,5230547
2026-05-06,89905.22,90598.67,87237.79,87573.19,1021653
2026-05-07,87573.19,88691.59,85755.47,85807.54,2944543
2026-05-08,85807.54,86218.03,83895.52,84449.07,1047028
2026-05-11,84449.07,85088.18,83931.42,84273.15,1045249
2026-05-12,84273.15,86673.31,83909.58,86605.58,3338777
2026-05-13,86605.58,87116.87,85681.64,86185.53,2665957
2026-05-14,86185.53,87994.12,85971.43,87737.56,3932325
2026-05-15,87737.56,89548.91,87292.10,88829.48,3720006
2026-05-18,88829.48,88932.22,88400.10,88924.19,1388558
2026-05-19,88924.19,91690.08,88346.11,91473.70,2528701
2026-05-20,91473.70,92699.95,90371.60,91048.35,3736322
2026-05-21,91048.35,92741.69,89931.41,91572.97,2356374
2026-05-22,91572.97,92040.93,90377.86,90522.33,5024234
2026-05-25,90522.33,91521.95,89178.81,89248.85,4668615
2026-05-26,89248.85,92297.94,88896.04,91103.44,4899616
2026-05-27,91103.44,92083.22,90890.67,90924.96,5055911
2026-05-28,90924.96,91211.44,89537.88,89563.25,5239959
2026-05-29,89563.25,93140.84,89396.23,91857.32,3085847
