Date,Open,High,Low,Close,Volume
2026-04-06,130.0000,132.5793,129.8649,132.3152,5004798
2026-04-07,132.3152,134.1754,131.4457,133.3494,2876195
2026-04-08,133.3494,135.4550,132.8890,134.1822,1060778
2026-04-09,134.1822,138.9307,132.7859,137.4933,1044956
2026-04-10,137.4933,138.5634,136.1684,137.0532,3575305
2026-04-13,137.0532,137.7328,135.4476,137.1749,1421381
2026-04-14,137.1749,138.8887,135.5802,136.2837,5958283
2026-04-15,136.2837,137.3065,135.5256,135.9826,1958958
2026-04-16,135.9826,136.5400,135.0964,135.7024,1038313
2026-04-17,135.7024,138.7299,134.7354,138.0646,2888965
2026-04-20,138.0646,139.1363,134.5375,135.0280,4522125
2026-04-21,135.0280,139.3430,134.1945,137.7271,3367355
2026-04-22,137.7271,140.3961,136.4553,139.5939,2277972
2026-04-23,139.5939,142.1925,138.9979,140.8079,1282663
2026-04-24,140.8079,143.8003,140.4448,143.4129,1943356
2026-04-27,143.4129,146.6850,143.3565,146.0899,2192398
2026-04-28,146.0899,151.4740,145.7239,149.6378,5153301
2026-04-29,149.6378,151.1667,148.4483,150.7068,4672086
2026-04-30,150.7068,153.9582,149.0561,153.6938,4077557
2026-05-01,153.6938,154.2122,153.4029,153.9253,4491947
2026-05-04,153.9253,154.6908,153.5591,154.5445,5412252
2026-05-05,154.5445,155.0969,151.0744,152.3280,5300122
2026-05-06,152.3280,155.0322,150.8396,154.6406,2548350
2026-05-07,154.6406,155.8894,149.8981,151.6837,1146703
2026-05-08,151.6837,154.5449,150.6859,152.9939,1357731
2026-05-11,152.9939,155.0241,151.8792,154.6968,4993912
2026-05-12,154.6968,154.9700,151.2516,152.1155,2251624
2026-05-13,152.1155,152.3368,150.5003,151.0398,3299864
2026-05-14,151.0398,155.0918,149.4495,153.4617,2473781
2026-05-15,153.4617,154.7673,151.5498,152.7136,4974558
2026-05-18,152.7136,153.8048,148.2899,149.8287,5009661
2026-05-19,149.8287,153.0879,148.6705,152.1830,1786234
2026-05-20,152.1830,156.2725,151.3954,156.1053,3542126
2026-05-21,156.1053,156.2481,154.2313,155.7103,3491623
2026-05-22,155.7103,157.1585,152.7014,153.6240,3497247
2026-05-25,153.6240,157.2468,153.5018,156.2100,4107479
2026-05-26,156.2100,159.3189,155.2436,158.4571,4661624
2026-05-27,158.4571,160.1054,157.5474,158.4512,4587376
2026-05-28,158.4512,163.0400,157.0348,161.4844,2074920
2026-05-29,161.4844,163.5151,160.4816,163.3801,1614765
