Date,Open,High,Low,Close,Volume
2026-04-06,480.0000,482.2020,479.4055,481.5749,2026588
2026-04-07,481.5749,483.9511,479.2522,480.4291,4366246
2026-04-08,480.4291,483.3481,480.1455,483.3042,1671935
2026-04-09,483.3042,484.6274,479.8151,480.2223,3760354
2026-04-10,480.2223,481.7071,475.5457,477.5984,4328403
2026-04-13,477.5984,481.0392,475.8552,480.7694,3111918
2026-04-14,480.7694,480.8952,474.1711,475.8180,3320146
2026-04-15,475.8180,476.5068,470.5426,472.6648,1550255
2026-04-16,472.6648,472.7823,470.0580,470.8176,2478069
2026-04-17,470.8176,471.6555,466.2766,467.2455,1607230
2026-04-20,467.2455,468.3546,462.2782,462.4150,4983430
2026-04-21,462.4150,464.0033,462.1135,463.9077,3637192
2026-04-22,463.9077,466.0163,461.2398,461.7475,3084223
2026-04-23,461.7475,464.9107,459.4684,463.7496,3097187
2026-04-24,463.7496,464.4482,459.8220,460.9083,4604220
2026-04-27,460.9083,462.9635,458.6779,461.4288,1608295
2026-04-28,461.4288,463.3481,459.9117,460.1904,1249116
2026-04-29,460.1904,462.1828,457.7017,458.9118,5392687
2026-04-30,458.9118,459.2193,458.1494,458.1709,4075744
2026-05-01,458.1709,459.9649,457.1776,459.0481,2481466
2026-05-04,459.0481,461.1432,455.2516,455.6955,3439454
2026-05-05,455.6955,458.0895,451.4907,452.4047,3815272
2026-05-06,452.4047,457.3772,450.6455,456.5995,3027268
2026-05-07,456.5995,458.0650,454.3136,457.4592,3144049
2026-05-08,457.4592,464.0673,456.5345,462.7073,4324937
2026-05-11,462.7073,464.0840,458.6768,458.7763,3988612
2026-05-12,458.7763,460.0045,455.0997,456.5159,4903842
2026-05-13,456.5159,457.9131,455.9589,456.7460,1044887
2026-05-14,456.7460,457.4174,455.0609,456.5755,3140515
2026-05-15,456.5755,462.3950,454.7219,460.8346,4221705
2026-05-18,460.8346,467.2449,458.8180,466.1555,1408908
2026-05-19,466.1555,467.4318,463.3472,464.6881,4554977
2026-05-20,464.6881,468.7575,462.8795,467.0593,3295844
2026-05-21,467.0593,467.8981,465.9780,467.1861,3446156
2026-05-22,467.1861,471.9593,466.3456,470.1356,4127478
2026-05-25,470.1356,472.3474,468.2836,470.1696,5070623
2026-05-26,470.1696,475.4244,468.2386,474.6118,2411904
2026-05-27,474.6118,476.3472,472.2131,476.2138,1568100
2026-05-28,476.2138,478.3179,471.6750,472.5381,5926468
2026-05-29,472.5381,474.0930,472.2725,473.8892,2613950
