Date,Open,High,Low,Close,Volume
2026-04-06,560.0000,561.5156,558.6378,560.3278,3950788
2026-04-07,560.3278,564.9099,560.1485,563.6968,3652528
2026-04-08,563.6968,565.9115,562.6144,564.8939,5217603
2026-04-09,564.8939,566.4083,562.8580,564.3966,1804071
2026-04-10,564.3966,565.0199,560.8297,561.7192,2884816
2026-04-13,561.7192,562.9724,560.3777,562.6855,3882694
2026-04-14,562.6855,564.5857,560.3650,562.1761,4844023
2026-04-15,562.1761,563.5772,560.1958,560.7604,1281168
2026-04-16,560.7604,565.3484,560.0946,563.1462,1732667
2026-04-17,563.1462,566.3514,561.8995,565.5659,3883359
2026-04-20,565.5659,569.2445,563.6436,568.9186,5101435
2026-04-21,568.9186,568.9765,567.9224,568.0967,5206555
2026-04-22,568.0967,569.4950,567.4822,568.2990,3510043
2026-04-23,568.2990,570.8590,566.8349,570.6561,1225509
2026-04-24,570.6561,572.1051,568.1321,570.3780,3140955
2026-04-27,570.3780,571.1831,570.1873,570.2974,4667030
2026-04-28,570.2974,572.0299,569.1057,569.7903,3773981
2026-04-29,569.7903,571.7103,568.2666,568.6309,1592882
2026-04-30,568.6309,571.4652,568.3455,570.0432,2845883
2026-05-01,570.0432,572.1804,567.2133,569.1550,4149472
2026-05-04,569.1550,571.2467,567.2357,568.5711,3174295
2026-05-05,568.5711,569.7412,567.0311,567.0506,5403547
2026-05-06,567.0506,567.9763,565.1980,565.4773,1398807
2026-05-07,565.4773,569.1580,564.3145,567.9211,1516813
2026-05-08,567.9211,570.1055,565.9120,568.6905,5806842
2026-05-11,568.6905,571.1875,567.3867,569.8114,3435153
2026-05-12,569.8114,571.2969,564.8675,566.3418,5977110
2026-05-13,566.3418,568.7833,566.0303,568.4761,4234639
2026-05-14,568.4761,573.7847,566.3716,572.9975,2882622
2026-05-15,572.9975,577.1220,572.8340,575.6166,2433301
2026-05-18,575.6166,578.4945,574.1711,577.3574,2126091
2026-05-19,577.3574,580.3333,577.1449,579.6032,3769656
2026-05-20,579.6032,580.0230,576.8403,578.7307,5675555
2026-05-21,578.7307,581.2945,577.7283,581.2828,5251963
2026-05-22,581.2828,583.7902,579.8210,582.1596,1004025
2026-05-25,582.1596,583.5000,581.7797,582.3557,5036715
2026-05-26,582.3557,582.5532,576.2149,578.5233,4064038
2026-05-27,578.5233,582.5813,576.3975,580.6425,5911821
2026-05-28,580.6425,581.0337,575.3248,576.6999,2974635
2026-05-29,576.6999,577.9293,576.0512,576.1677,1304533
