Date,Open,High,Low,Close,Volume
2026-04-06,340.0000,344.4554,335.3753,338.9718,4745264
2026-04-07,338.9718,340.0957,327.6446,330.1364,2665949
2026-04-08,330.1364,330.8019,327.2013,330.3925,2920910
2026-04-09,330.3925,330.6211,324.1531,327.3163,3214820
2026-04-10,327.3163,327.7041,322.5968,323.3939,1689384
2026-04-13,323.3939,327.5236,319.8207,320.2313,5187051
2026-04-14,320.2313,323.5260,317.6025,318.7331,1556214
2026-04-15,318.7331,318.8490,309.4291,312.8477,4219638
2026-04-16,312.8477,312.9927,309.7106,311.2825,5691713
2026-04-17,311.2825,315.4329,307.9232,314.4812,3945661
2026-04-20,314.4812,319.1815,310.2112,312.3467,4131654
2026-04-21,312.3467,322.0271,310.9973,319.7254,4788920
2026-04-22,319.7254,324.3385,310.3701,313.8564,2241029
2026-04-23,313.8564,315.7865,308.6272,310.4774,5937883
2026-04-24,310.4774,312.2365,309.2808,309.6558,1320311
2026-04-27,309.6558,315.6513,307.5359,312.4655,2866712
2026-04-28,312.4655,314.1841,305.4759,305.7390,3504044
2026-04-29,305.7390,312.4331,301.9789,311.5796,4426257
2026-04-30,311.5796,313.9086,309.5834,313.6254,4366543
2026-05-01,313.6254,322.4517,312.7693,318.4976,2246250
2026-05-04,318.4976,320.5811,312.5088,314.1666,5096479
2026-05-05,314.1666,323.0214,309.9593,322.1648,5533329
2026-05-06,322.1648,325.6843,316.7891,316.9616,2699220
2026-05-07,316.9616,325.3891,313.8746,321.7779,5228106
2026-05-08,321.7779,322.9156,311.5650,314.1760,4743619
2026-05-11,314.1760,319.4695,310.4371,315.9222,4258350
2026-05-12,315.9222,316.0836,304.5875,307.3797,2743065
2026-05-13,307.3797,317.0051,304.9224,312.9170,1400597
2026-05-14,312.9170,313.0900,307.6168,308.1179,1119026
2026-05-15,308.1179,315.0873,308.0507,311.1387,1791050
2026-05-18,311.1387,323.9491,309.3046,320.2719,1813500
2026-05-19,320.2719,330.6781,315.5937,326.9674,3066813
2026-05-20,326.9674,330.1923,321.6914,322.3714,3919875
2026-05-21,322.3714,327.9903,317.7493,323.2470,4099764
2026-05-22,323.2470,329.1347,321.5869,327.5411,2286869
2026-05-25,327.5411,338.7064,326.7530,336.3168,5532019
2026-05-26,336.3168,342.7440,335.1137,342.0445,2746915
2026-05-27,342.0445,344.2703,330.8752,332.4222,3012075
2026-05-28,332.4222,342.3513,331.2683,340.7781,4706368
2026-05-29,340.7781,345.3252,334.0472,338.3550,5403859
